REGEOGR;VB01001_SEXO;VB01002_COR_RACA;VB01003_IDADE;VB01010A-PESSOAS;VB01021-SERIE;VB01022-TURNO;VB01026-PRETENSAO;VB02024-ALIMENTACAO;TEMPOEDFIS;VB07010-BULLYING;VB09010-AGRESSÃO;VB09016-ABUSO;VB06001
1;1;2;17;5;4;1;3;1;90;2;1;2;1
1;2;4;14;10;4;1;2;1;65;2;1;2;2
1;1;4;15;10;4;1;1;1;130;1;1;2;2
1;2;4;15;5;4;1;1;1;65;1;1;2;2
1;2;4;15;4;4;1;2;1;0;1;1;2;1
1;1;3;15;6;4;1;2;1;0;1;1;2;2
1;2;4;14;4;4;1;3;3;10;2;1;2;2
1;2;4;16;7;4;1;2;1;130;1;8;2;2
1;1;2;16;5;4;1;5;1;130;1;1;2;1
1;2;4;15;5;4;1;3;1;5;2;1;2;1
1;2;5;16;3;4;1;3;1;35;1;1;2;1
1;2;2;14;6;4;1;4;2;90;2;2;2;1
1;1;1;16;6;4;1;3;1;55;1;1;2;2
1;1;4;15;4;4;1;3;1;10;1;2;2;2
1;1;2;14;5;4;1;3;2;65;1;1;2;2
1;1;3;16;5;4;1;2;1;0;1;1;2;1
1;2;2;15;8;4;1;3;1;0;2;1;2;2
1;1;4;16;4;4;1;3;3;130;3;1;2;2
1;1;4;17;8;4;1;3;1;25;2;1;2;2
1;2;4;16;5;4;1;3;1;35;2;1;2;2
1;1;1;14;3;4;1;1;1;0;1;3;2;2
1;2;1;16;5;4;1;3;1;130;1;1;1;2
1;1;4;16;10;4;1;3;1;10;1;1;2;2
1;1;4;15;5;4;1;3;1;130;2;1;2;2
1;1;4;14;6;4;1;3;1;0;2;1;2;2
1;2;4;16;5;4;1;3;2;5;1;1;2;2
1;1;4;15;7;4;3;3;1;25;1;2;2;2
1;2;3;13;3;4;3;3;1;0;2;1;2;2
1;1;2;17;6;4;3;3;2;30;1;1;2;2
1;2;4;16;5;4;3;4;1;25;2;1;2;2
1;1;1;17;3;4;3;4;1;130;1;3;2;2
1;2;3;14;4;4;3;3;1;0;1;1;2;2
1;1;4;13;2;4;3;1;1;0;2;1;2;2
1;1;4;14;2;4;3;3;1;15;2;1;2;2
1;2;4;16;4;4;3;3;3;0;1;1;2;2
1;1;1;15;4;4;3;3;1;325;1;1;2;2
1;1;4;17;8;4;3;4;2;90;1;1;2;2
1;2;2;14;6;4;3;3;1;15;2;1;2;1
1;1;4;15;5;4;3;3;3;70;1;3;2;2
1;2;4;14;6;4;3;4;1;0;2;1;2;2
1;2;1;14;4;4;3;3;3;0;1;1;2;2
1;1;4;14;8;4;3;3;1;0;1;2;2;2
1;1;4;15;3;4;3;2;3;0;1;1;2;2
1;1;4;14;4;4;3;3;1;110;1;1;2;2
1;2;2;13;4;4;3;3;1;0;1;1;2;2
1;1;1;16;9;4;3;3;3;5;1;3;2;2
1;2;4;14;4;4;3;3;1;30;1;1;2;2
1;1;4;14;4;4;3;3;1;0;1;1;2;2
1;2;4;14;5;4;3;3;1;0;1;1;2;1
1;2;4;15;3;4;3;5;2;75;1;1;2;2
1;2;1;14;6;4;3;4;1;50;2;1;2;2
1;2;1;14;4;4;3;3;1;0;3;1;2;2
1;1;2;17;6;4;3;3;1;30;2;1;2;2
1;1;2;15;6;4;3;3;1;50;3;4;2;2
1;2;4;14;9;4;3;5;1;0;2;1;1;2
1;2;4;14;3;4;3;3;3;0;1;1;2;2
1;2;1;15;5;4;3;3;1;0;2;1;2;2
1;1;4;16;4;4;3;4;1;0;2;1;2;2
1;2;1;15;3;4;3;4;1;50;1;1;2;2
1;2;4;14;6;4;3;3;4;10;1;2;1;2
1;2;1;15;2;4;3;3;3;50;1;1;2;2
1;2;1;15;7;4;3;3;1;0;1;1;2;2
1;2;4;15;4;4;3;5;3;0;1;1;2;2
1;1;4;15;4;4;3;3;2;0;2;1;2;2
1;2;4;14;3;4;3;3;1;0;2;1;2;2
1;1;1;14;5;4;3;3;4;0;2;1;2;2
1;1;1;16;5;4;3;3;1;130;2;1;2;2
1;2;4;15;9;4;3;3;1;0;1;1;2;1
1;2;4;14;5;4;3;3;1;10;1;1;2;2
1;2;1;14;6;4;3;1;3;70;1;1;2;2
1;2;1;17;6;4;3;3;4;0;1;2;2;2
1;1;4;16;4;4;3;3;1;30;1;1;2;2
